Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
superWild_3,,,,2019-08-10 23:43:38,2019-08-10 23:51:06,7m - 27.507s,PASSED
,,,,,,,
Test Cases/M4-Game/Super_Wild/3_ExtraFG_CALL,,"https://staroad.atlassian.net/wiki/spaces/IPD/pages/461176986/NuRgs+API+Features+Use-case+M4-0012+Super+Wilds

#1 situation",,2019-08-10 23:43:38,2019-08-10 23:53:23,9m - 44.854s,PASSED
ExtraFG = new java.util.ArrayList(),,,,2019-08-10 23:43:40,2019-08-10 23:43:40,0.002s,PASSED
"ExtraFG.add(""free_spins_left"")",,,,2019-08-10 23:43:40,2019-08-10 23:43:40,0.001s,PASSED
"ExtraFG.add(""free_spins_added"")",,,,2019-08-10 23:43:40,2019-08-10 23:43:40,0.001s,PASSED
"sendRequestAndVerify(findTestObject(""Wallet/Get_Session_Token"", [""url_krug_gw"":url_krug_gw, ""partner"":Partner, ""secret_key"":secret_key, ""userid"":Userid]))",,,,2019-08-10 23:43:40,2019-08-10 23:43:42,2.590s,PASSED
"M4_login = sendRequestAndVerify(findTestObject(""RGS(M4)/M4_Login"", [""partner"":Partner, ""game_code"":Game_code, ""session_token"":session_token]))",,,,2019-08-10 23:43:42,2019-08-10 23:43:44,1.926s,PASSED
M4_login_user_id = M4_login_user_id,,,,2019-08-10 23:43:44,2019-08-10 23:43:44,0.001s,PASSED
"M4_init = sendRequestAndVerify(findTestObject(""RGS(M4)/M4_init"", [""partner"":Partner, ""M4_recorder"":M4_recorder, ""M4_login_user_id"":M4_login_user_id]))",,,,2019-08-10 23:43:44,2019-08-10 23:43:45,0.552s,PASSED
rgs_session_token = rgs_session_token,,,,2019-08-10 23:43:45,2019-08-10 23:43:45,0.001s,PASSED
"for ([i = 0, i <= 500, (i++)])",,,,2019-08-10 23:43:45,2019-08-10 23:53:12,9m - 27.246s,PASSED
"sendRequestAndVerify(findTestObject(""RGS(M4)/1_Round_detail"", [""partner"":Partner, ""M4_spin_round_id"":M4_spin_round_id]))",,,,2019-08-10 23:53:12,2019-08-10 23:53:13,1.366s,PASSED
M4_round_features_triggered = M4_round_features_triggered,,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.000s,PASSED
extraFreeSpinIndex = -1,,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.000s,PASSED
extraFreeSpinFeatureStateKeys = null,,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.000s,PASSED
"for ([i = 0, i < M4_round_features_triggered.size(), (i++)])",,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.003s,PASSED
println(extraFreeSpinIndex),,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.000s,PASSED
println(extraFreeSpinFeatureStateKeys),,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.001s,PASSED
listOfKeys = new java.util.ArrayList(extraFreeSpinFeatureStateKeys),,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.000s,PASSED
Collections.sort(listOfKeys),,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.003s,PASSED
Collections.sort(ExtraFG),,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.000s,PASSED
"println(""listOfKeys is:"" + listOfKeys)",,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.000s,PASSED
"println(""ExtraFG is:"" + ExtraFG)",,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.000s,PASSED
assert listOfKeys.equals(ExtraFG),,,,2019-08-10 23:53:13,2019-08-10 23:53:13,0.002s,PASSED
"callTestCase(findTestCase(""M4-Game/Super_Wild/backup/compare_values/3_specific_ExtraFG_verify_value_call_test_case""), [""Partner"":Partner, ""Userid"":Userid, ""Game_code"":Game_code, ""url_krug_gw"":url_krug_gw, ""secret_key"":secret_key, ""M4_recorder"":M4_recorder])",,,,2019-08-10 23:53:13,2019-08-10 23:53:23,9.721s,PASSED
